quarter,cpi_index,cpi_base_year,cpi_base_value,cpi_base_quarter_used
1947Q1,21.7,2025,323.288,2025Q3
1947Q2,22.01,2025,323.288,2025Q3
1947Q3,22.49,2025,323.288,2025Q3
1947Q4,23.126666666666665,2025,323.288,2025Q3
1948Q1,23.616666666666664,2025,323.288,2025Q3
1948Q2,23.993333333333336,2025,323.288,2025Q3
1948Q3,24.396666666666665,2025,323.288,2025Q3
1948Q4,24.173333333333332,2025,323.288,2025Q3
1949Q1,23.94333333333333,2025,323.288,2025Q3
1949Q2,23.916666666666668,2025,323.288,2025Q3
1949Q3,23.71666666666667,2025,323.288,2025Q3
1949Q4,23.66,2025,323.288,2025Q3
1950Q1,23.58666666666667,2025,323.288,2025Q3
1950Q2,23.766666666666666,2025,323.288,2025Q3
1950Q3,24.203333333333333,2025,323.288,2025Q3
1950Q4,24.69333333333333,2025,323.288,2025Q3
1951Q1,25.69666666666667,2025,323.288,2025Q3
1951Q2,25.94666666666667,2025,323.288,2025Q3
1951Q3,25.933333333333334,2025,323.288,2025Q3
1951Q4,26.316666666666666,2025,323.288,2025Q3
1952Q1,26.416666666666668,2025,323.288,2025Q3
1952Q2,26.486666666666668,2025,323.288,2025Q3
1952Q3,26.666666666666668,2025,323.288,2025Q3
1952Q4,26.69666666666667,2025,323.288,2025Q3
1953Q1,26.62,2025,323.288,2025Q3
1953Q2,26.72,2025,323.288,2025Q3
1953Q3,26.843333333333334,2025,323.288,2025Q3
1953Q4,26.89,2025,323.288,2025Q3
1954Q1,26.953333333333333,2025,323.288,2025Q3
1954Q2,26.91,2025,323.288,2025Q3
1954Q3,26.84,2025,323.288,2025Q3
1954Q4,26.756666666666664,2025,323.288,2025Q3
1955Q1,26.793333333333333,2025,323.288,2025Q3
1955Q2,26.756666666666664,2025,323.288,2025Q3
1955Q3,26.776666666666667,2025,323.288,2025Q3
1955Q4,26.856666666666666,2025,323.288,2025Q3
1956Q1,26.86,2025,323.288,2025Q3
1956Q2,27.036666666666665,2025,323.288,2025Q3
1956Q3,27.316666666666666,2025,323.288,2025Q3
1956Q4,27.55,2025,323.288,2025Q3
1957Q1,27.776666666666667,2025,323.288,2025Q3
1957Q2,28.013333333333332,2025,323.288,2025Q3
1957Q3,28.263333333333335,2025,323.288,2025Q3
1957Q4,28.400000000000002,2025,323.288,2025Q3
1958Q1,28.736666666666668,2025,323.288,2025Q3
1958Q2,28.930000000000003,2025,323.288,2025Q3
1958Q3,28.913333333333338,2025,323.288,2025Q3
1958Q4,28.94333333333333,2025,323.288,2025Q3
1959Q1,28.993333333333336,2025,323.288,2025Q3
1959Q2,29.043333333333333,2025,323.288,2025Q3
1959Q3,29.19333333333333,2025,323.288,2025Q3
1959Q4,29.37,2025,323.288,2025Q3
1960Q1,29.396666666666665,2025,323.288,2025Q3
1960Q2,29.573333333333334,2025,323.288,2025Q3
1960Q3,29.59,2025,323.288,2025Q3
1960Q4,29.78,2025,323.288,2025Q3
1961Q1,29.84,2025,323.288,2025Q3
1961Q2,29.83,2025,323.288,2025Q3
1961Q3,29.94666666666667,2025,323.288,2025Q3
1961Q4,29.99,2025,323.288,2025Q3
1962Q1,30.106666666666666,2025,323.288,2025Q3
1962Q2,30.22,2025,323.288,2025Q3
1962Q3,30.30666666666667,2025,323.288,2025Q3
1962Q4,30.38,2025,323.288,2025Q3
1963Q1,30.47666666666667,2025,323.288,2025Q3
1963Q2,30.53333333333333,2025,323.288,2025Q3
1963Q3,30.72,2025,323.288,2025Q3
1963Q4,30.80333333333333,2025,323.288,2025Q3
1964Q1,30.930000000000003,2025,323.288,2025Q3
